Dates,Mining and logging,Construction,Manufacturing,"Trade, transportation, and utilities",Information,Financial activities,Professional and business services,Education and health services,Leisure and hospitality
2/1/2022,5.40,5.20,6.10,6.20,7.90,5.30,9.20,8.30,10.10
11/1/2022,6.30,4.30,6.00,5.10,6.40,6.00,8.50,7.70,9.10
12/1/2022,5.80,5.80,5.80,5.80,3.30,6.30,8.40,7.70,10.20
1/1/2023,5.80,3.50,5.30,6.00,4.30,4.70,8.40,7.50,8.80
2/1/2023,5.30,4.90,5.10,5.30,4.60,5.00,7.40,6.90,8.30
